Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C3, C9",0402,4,1uf,C52923
"C10, C13, C14, C15, C2, C4, C7, C8",0402,8,100n,C307331
"C5, C6",0402,2,18pf,C1549
"H1, H2",MountingHole_3.2mm_M3,2,MountingHole,
J1,VALCON_CSP-USC16-TR,1,CSP-USC16-TR,C2765186
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_Pin,C160403
LED1,LED0603-RD,1,KT-0603R,C2286
"R1, R11, R12, R2",0402,4,33,C25105
"R10, R13",0402,2,10k,C25744
"R3, R6",0402,2,5.1k,C2906948
"R4, R5, R7, R8, R9",0402,5,1k,C11702
U1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206P332MR,C5446
U2,USON-8_L3.0-W2.0-P0.50-BL-EP,1,W25Q16JVUXIQ,C2843335
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,AUDIO-TH_PJ-3200,1,Black_headphone_jack,C2689690
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,Crystal_GND24,C284155
