Designator,Mid X,Mid Y,Rotation,Layer
C1,108.458,-30.1342,270.0,top
C10,94.5333,-36.5705,180.0,top
C11,96.901,-34.29,270.0,top
C13,95.758,-34.4932,90.0,top
C14,106.1157,-38.6025,0.0,top
C15,100.33,-33.655,90.0,top
C2,102.0336,-30.6306,270.0,top
C3,103.0496,-30.6306,270.0,top
C4,91.9933,-40.2281,90.0,top
C5,108.347845,-38.500495,0.0,top
C6,109.363845,-41.294495,90.0,top
C7,96.3676,-44.2976,225.0,top
C8,94.5333,-37.5865,180.0,top
C9,94.5333,-38.6025,0.0,top
J1,96.020004,-30.608,180.0,top
J2,112.631045,-41.072495,180.0,top
LED1,109.893,-25.4,0.0,top
R1,95.135004,-32.388,90.0,top
R10,91.9933,-42.2601,90.0,top
R11,91.315,-33.909,180.0,top
R12,91.315,-32.893,180.0,top
R13,106.040645,-35.63317,0.0,top
R2,96.151004,-32.388,90.0,top
R3,97.294004,-32.388,90.0,top
R4,109.8568,-30.6814,0.0,top
R5,109.9076,-29.7162,0.0,top
R6,94.119004,-32.388,270.0,top
R7,90.422,-42.799,0.0,top
R8,98.806,-33.655,270.0,top
R9,104.791845,-39.567295,180.0,top
U1,105.6404,-30.7322,180.0,top
U2,93.6189,-41.8537,0.0,top
U3,99.6357,-39.3476,180.0,top
U4,86.995,-30.647,270.0,top
Y1,107.331845,-40.786495,270.0,top
